영화댓글
"영상미도 아름답고 성우, 캐릭터도 분명하고, 원작의 조제, 호랑이 그리고 물고기들의 불필요한 가지를 싹다 자르고 새로운 재창조를 정말 잘 했다는 느낌이 든다. 내용도 정말 좋고"
할머니 죽는거부터 급전개 시작되서 어이가 없음 차라리 할머니 중간중간 손녀몰래 아프다는 신호를 보여줘야하는데 갑자기 멀쩡한 할머니 돌아가시고 주인공 교통사고당하고 그리고 퇴원했을때 그냥 만나면 되는데 억지 연출한다고 더 길어지고스토리 구상은 괜찮은데 너무 급작스러운전개를 2번이나 해서 어이없네
귀멸의 칼날과 코로나 그리고 불매운동만 아니었으면 너의 이름은을 뛰어넘는 영화가 되었을 건데... 진짜 전반부는 입에서 미소가 끊이질 않았고 후반부에 엄청 울었네요...
너의이름은보다 재밌었음. ost 스토리 작화 성우 연기력 뭐하나 빠진게 없음 대신 결말 좀 뻔한데 사건들이 예상밖이라 재밌음
"초반 여주의 행보가 이해 안될수도 있으나, 후반부로가면서 여주의 인생에서 불가능을 겪은 것을 보면서 안타까움과 극복하는 과정에서 감동을 느낌"
작화 굿 순수함이아름다웠어요
끝나고 기립박수 조질뻔
감동적이고 재밌었어요! 원작과는 설정 빼고는 아예 다른내용이라 생각하시는게 나요개인적으로 원작보다 해피엔딩이여서 좋았습니다
주위에 상영하는곳만 있으면 한번더 보고싶음
영상 스토리는 예측이 쉽게가능해 조금 지루할수있는 부분이었지만 그림체도 좋았고 적절한 충격과 좋은ost를 들어서 잔잔한 느낌을 받았습니다
오랜만이다 이런기분 참 잘봤습니다 라노벨로 따로 찿아 보고싶을 만큼 감동적입니다.
극장판 애니 러닝타임 상 캐릭터 감정선이 잘 이해 안갈 만큼 빠르긴 했지만.. 나쁘지 않았습니다. 볼만 해요.
정말 재밌었고 감동적이었다.. 후배 여자아이는 좀 불쌍하다ㅠㅠ
"원작 영화의 스토리에서 느껴졌던 감동과 여운이 다 사라져버린 리메이크. 여러가지 극적인 사건들이 너무 급전개되는데 츠네오가 조제 앞에서 화 한 번 못 내는 보살같이 행동해서 전혀 현실적인 연애로 느껴지지가 않는다. 이 애니는 그냥 조제가 얼마나 이기적으로 행동하든 츠네오가 알았다고 하고 참고, 희생하는 걸로 전부 넘어가버린다. 앞에 모든 사건들이 공감이 전혀 안 되기 때문에 마지막 장면에서 감동도 느껴지지 않는다. 그리고 몇 몇 큰 사건들은 도대체 왜 넣었는지 진짜 모르겠다. 결론적으로 영상미랑 EVE의 노래빼고, 건진게 하나도 없는 애니메이션."
무난한 힐링물 같네요 어떤 의미를 전달하는지도 잘 보이고
다 필요없다. 열린결말이 아닌걸로만으로 엄청난 만족이였다.
좋은 영화였습니다 또 보고 싶네요
"작화, 캐릭터, 스토리 전부 아름답고 감동적이었습니다. 상영관만 있다면 몇번이고 다시 보고싶은데 상영관이 없네요..ㅠㅠ 서로의 성장을 도와주고, 또 그러면서 함께 행복을 나누는 조제와 츠네오의 모습이 정말 인상깊었습니다. 후회가 없는 영화였습니다."
굉장히 전형적인 클리셰의 향연
이 영화의 모든것이  감동적이고 따뜻한 영화. 원작과는 다른 영화 조제의 장애인이 아닌 한사람의 평등한 인간으로의 자립과 츠네오와의 사랑 만드는 기적!
""
편안하고 좋은 작화와 스토리가 너무 좋았어요
애니메이션이 생각보다 재미있어서 놀람. 재미나게 잘 봤어요.
진짜 하 .. 개쳐울었다 진짜 꼭 보세요;;
진짜 아름다웠던 영화라고밖에 표현이 안되요. 힐링하구 가요.
좋다 역시애니다 너무재밋당
봄철에 보기 딱 좋은 영화- 질질 끄는 요소가 없이 좋은
나도 마음에 날개가 생겼다...
꿈을 잃은 츠네오에게 힘이 되어준 조제를 보며 마음이 몽글몽글해짐 ㅜ 즙 짤 정도로 슬프진않는데 뭔가 몽글몽글했음 브금이 좋아서 몰입도 높음
꼬리를 잃어도 헤엄칠 수 있다며 인어공주는 다시금 바닷속으로 뛰어든다
영상미가 너무 좋고 주인공들의 심리묘사가 매우 잘되어있습니다 인생영화 등극함
제목이 왜 이러지 하면서 보고이래서 제목이 이렇구나 하게된다다른 뜻으로 이해할수도 있지만그건 해석이 다를 뿐 틀린게 아니다
뻔해서 감동 아름다운 연출
"꿈을 위해 쉼없이 열심히 달려온 당신, 잠시 쉬었다 가도 괜찮다는 것을 알려주는 영화"
"연출 ,스토리, ost 등등 대부분 좋았지만내용전개가 너무 빨라욤"
조제의 시련에 대한 극복 과정을 본다면 우리도 무엇이든 할 수 있다고 마음먹게 된다. 내가 그렇다.
조제라고 하기에는 무리가 있지만 애니만의 매력은 있었다
심플하고 밝아서 좋다
원작을 리부트한 만큼 잘만들어서 좋은 영화 감동적이어서 마음이 따뜻해지던 영화
애니메이션으로만 보여줄 수 있는 감성을 잘 전해준 것 같아요 무엇보다 음악과 영상미가 너무 좋았네요 그리고 다른 작품들과 다른 엔딩도 개인적으론 마음에 들었습니다ㅎㅎ
기다린 보람이 있는 영화
아름다운 장면들과 약간은 뻔해진 이야기
"친구들이랑 다 같이 봤는데 제 인생영화 등극했습니다 정말로 너무 재미있어서 눈물이다 날 지경이였습니다 그리고 남자성우분 여자성우분 목소리,연기 진짜 대박입니다 안보시면 후회할영화 조제 굿굿!!"
원작영화를 유치한 동화로 만들었네요... 일본애니 특유의 유치함 오글거림을 2시간 내내 느꼈습니다.  원작영화 감동파괴가 뭔지 절절히...영상은 괜찮았음... 그뿐...
일본 특유의 억지 츤데레 + 신파 + 우연. 이름 그대로 안 부르고 직업이나 이상한 별명으로 부르다 결정적인 순간 본명 부르며 '울컥울컥(속이 뻥)'. 짜증이 날 정도.
가벼운 느낌의 힐링영화지만 짧은 러닝타임 내에 완벽한 전달을 해냈다. 영상미는 두말할 것없고이 영화가 전달하려는 내용을 완벽히 전달받았다.오랜만에 제대로 좋은 영화봐서 기뻤다.
영화 재밌게 잘 봤습니다
오랜만에 정말 재미있게봤네요 남녀주인공 훈훈해요~
어른에게 읽어주는 삶의 동화책
고3....이면 보지마세요 후유증때메 공부도 못하고 하루종일 ost만 듣는중 ㅠㅠㅠㅠ
원작과 살짝 다르지만 개인적으론 원작보다 재밌게 봤었다 원작을 봤던 사람들한테는 무조건 추천 하고 원작을 안봤던 사람들한테도 무조건 추천 드리고 싶다 처음과 마지막이 대비되는게 너무 놀라웠다 연출 스토리 마지막에 ev가 부른 ost 영상미 모든게 칭찬으론 모자랄정도로 좋았다 진로 고민이 많은 10대들에게도 추천하고싶은 작품이였다
이걸 보고 2004년 나온 영화판도 봤습니다 애니메이션은 더 희망적이고 청춘물적인 요소가있지만 소설을 각색해서 만든 두 창작물이기에 굳이 애니메이션으로 만들었을까 보다는 다른 두가지 해석이 다 좋은거 같아요 저는 어둡고 현실적인 영화보다 애니메이션을더 재밌게 본거같아요 설정들도 맘에들고 제목에 호랑이와 물고기들에 더 의미가 있던거 같았어요
이런 식으로 아름답게도 풀어갈 수 있는 이야기였다.
"오랜만에 보는 충실한 작품, 너무 좋았다"
애니영화에까지 입덕하게만들어준영화.
원작과는 다른 행복함에 보고나면 여운이 남는다
작화 연출 모든게 훌륭했지만 스토리가 조금 부족..짧은 러닝타임에 다 넣기엔 한계가 분명 있기 때문이라고 생각합니다
뭔가 아쉬움 뭔가...
"소설, 영화, 만화영화로 모두 즐겨보세요. 장르의 맛이 꼬숩답니다."
따뜻하다. 원작을 모르고 봐도 좋다.
가족 중에 휠체어 타는 사람이 있어서 선택하게 된 영화.생활 속에서 빛을 찾아가는 영화.여운이 남는 영화.
원작을 안보고 봤는데 지루하지않고 주인공들도 귀여웠던 영화 아쉬운 부분도 있지만 잔잔한 분위기와 예쁜영상미 서로 힘이되줄때는 감동이었음
"귀칼보고도 울지 않았는데 이거 보고 울 번... 우선 둘다 안 운건 맞지만! 감동, 여운 엄청나요.."
재밌음 한번쯤은 볼만한듯
재미없음재미없음재미없음
최고에요 너무 좋습니다 모두가 봐야합니다 이 영화는 너무 좋아요
조제 원작을 좋아하던 분들이 이 영화를 별로 안 좋아하길래 별 기대를 안 했는데... 전 정말 재밌게 봤습니다. 정말 오랜만에 2번 이상 극장을 찾아가네요.
보고싶은데 시간이업음... 알바하면서 짬 나면 잠깐 봄
""
동생이 심심하대서 같이 봐줬는데.. 애니계 남자들이 어케 생각하는지 알겠음..
조제와 츠네오의 아름다운 사랑이야기...~~!!
영화는 너무 어두웠었다고 생각하는데 조금 더 밝은 느낌으로 재밌었어요. 사투리 재밌어요ㅋㅋ
기대 보다는 낮은 스토리 전개 하지만 좋은 영상미와 ost 그리고 캐릭터성이 이를 보완해 줌
실사영화와는 매우 다른 스토리를 보여줍니다. 이름과 큰 설정만 가져온 별개의 영화라고 생각하시면 될거 같습니다.영화의 스토리는 기승전결이 완벽하고 감동을 준다고 생각합니다. 또한  작화와 ost도 정말 좋았습니다.
원작과는 다르게 결말이 희망차서 또다른 느낌이여서 좋았어요 ! ㅎㅎ 중간에 들어간 ost도 좋았구 은근 후유증이 있더라구요 워낙 명작이라 애니로 잘표현할수있을까 하는 생각이 들었는데 생각보다 너무 재밌게 잘 봤어요 고민하시는분들은 꼭 한번씩 봐보세요 !!!
"뻔한 스토리, 발암 히로인 원작 네임밸류에 기대해서 그런가 최악이었다."
정말 원작과는 또다른 명작입니다... 전달하는 메세지도 정말 좋다고 생각합니다 ㅎㅎ
"원작을 완전히 뒤집어 놨는데, 왜 이게 훨씬 더 좋을까?"
보기 잘했네요. 영화는 가슴아팠는데 아니메는 뻔해도 감동적이예요.NCT DREAM을 응원해야 하는 이유
이번년도 중 가장 재밌게 보고 감정이 몰입되는 영화
스토리와 전개가 전체적으로 깔끔해서 보기 좋았습니다
"조제, 무리뉴 그리고 물고기들"
"원작의 불끈불끈한 츠네오는 어디로 가고, 탈일본인급 미모 후배의 볼륨 넘치는 필살 비키니 대쉬에도 무반응인 고자 츠네오가 된거죠? 츠네오 조제 둘 다 무려 23~4살 씩이나 먹고 밤에 같이 동침하면서조차 별 일 없던 것도 그렇고 아무리 애들용 순화판이라도 무리가 정도껏이어야지. 오히려 몸이 시키는 감정에 담백한 남자 조연이 더 원작의 츠네오이자 우리 시대를 대변해주는 청년스러웠던."
영화 다 보고 나와서 포근함을 느낀건 정말 오랜만이다. 봄이니까 쿠키까지 보고와야한다!
순수하고 아름다운 영상미와 스토리
"한국판 조제, 일본영화조제, 그리고 애니메이션 조제까지 3가지 버전으로 본건데 세가지 중 이 애니조제가 제일 낫네요. 원작과 많이도 내용을 바꾸었지만 대신 바다가 많이 나오고 그림이 워낙 예뻐 그것만으로도 좋습니다. 포스터도 받아 기분업~!"
너무 재밌게 봤어요~너무 감동적이고마지막에 쿠키영상 못 봐서 아시워요...
서로에게 마음의 날개를 심어준채 행복한 엔딩으로 끝나는게 너무 좋았어요♡ 사랑해요♡
정말 재미있는 영화고 이번에 꼭 봐야할 영화라고 생각합니다.
처음은 두 사람이 서로 어색하지만 시간이 지나면서 조제와 츠네오가 서로의 마음을 알고 도와주면서 마지막에 서로 좋아한다고 고백까지 하니 좋은 애니입니다.
급전개와 뻔한 스토리 하지만 이상하게 재밌다 왜지 ? 그냥 재밌어
"감정표현도 굉장히 공감 많이 됐고, 스토리도 극적인 면도 있었지만 현실에서 볼법했다.ost는 이브가 만든만큼 깔곳이 없는.."
감동적인 작품 2004년 개봉한 영화랑은 다르지만 소설의 내용은 비슷하고 작화도 좋았음
최근에 운 영화가 없는데 울어버렸습니다 최고!
진짜 보고나서 눈물 줄줄 난 영화. 보면서 놓칠 부분 하나 없고 작붕도 없는편이라 잘생긴 츠네오랑 예쁜 조제가 너무 좋았음. OST는 말할 것도 없이 좋았음. 극장 영화중 최고였던 것 같음. 특히 서로가 점점 믿으며 친해지고 서로를 위하준다는게 감동적 포인트였던 것 같음. 그리고 작화 연출은 무엇보다 좋았음. 보고나서 너무 감동적이라 후유증 남았음. 이거 다시 아무데도 안나올까봐 나왔을 때 많이 봐둘예정
진짜 원작이라 다른 느낌이라 너무 재미있게 봤어요
재미있고 메시지가 명료해서 좋았음
긴 말 안 해요 그냥 보세요 후회하지 말고
"개인적으로 날씨의 아이보다 좋았고, 그냥 최근에 애니메이션 영화 중 이만한 것 없었음. 돈 안아까우니까 그냥 보기만 하면 충분히 만족 가능함."
오늘 재밌게 봤습니다.
영화관가서 보기 아깝다
""
""
사람의 마음이 얼마나 중요한지 알려주는 영화.
실사판 영화랑 내용이 다르게 흘러가지만 재미와 감동은 충분히 있었다 봅니다. 남자가 쉽게 공감할 수 없었던 조제의 상황을 공감할 수 있도록 만든 설정도 괜찮게 느껴졌고 원래의 영화에서 조제가 어떻게 살아가는지에 대한 표현이 많이안되어있는데 애니메이션 버전의 조제는 앞으로 어떻게 살아가는지에 대해 보여줘서 더 의미가 있었던 것 같습니다.
내용은 뻔하지만 감동적이다
마지막 감성 최고입니다.
"기대를 많이 하고 갔는데 기대 이상 연출도 좋았고, 감정선이 와닿은 점 정말 좋음 인생작에 들어갈 수준"
쏘아올린불꽃이랑 해수의아이급만 아니면 돼..하고 보러갔는데 너무 재밌었다기승전결 깔끔 ost 굳 작화 굳
와 진짜 원작보다 더더 좋음ㅠㅠ 츠네오 너무 잘생겼어요 내용도 재미 감동 로맨스 요소까지 두 마리도 아니고 세 마리 토끼를 잡은 영화!! 너무 잘 봤습니다
영화가 줄수없는 감동이 무척 많았다..내용도 어둡지 않았다...끝부분에서는 눈물이 필요했다..
""
"원작을 보지않고 애니를 먼저 본 사람 입니다원작과는 스토리가 조금 다르다는 사실을 보고 봤는데 중간중간 아 여기선 이렇게 되겠구나~ 하는 클리셰?같은게 있긴 했어요 하지만 물고기, 호랑이, 날개같은 단어 하나하나에 담긴 의미와 영상미는 정말 좋았습니다 ♥.. 힐링받은 느낌 가볍게 보기 좋아요! 원작도 궁금해져서 봐야겠어요"
""
그냥 별느낌없이 봤어요
"처음부터 끝까지 정말 화면 가득 아름다움이 차오르는 느낌이었어요. 영상미 인정.근데 스토리가 좀 뻔했달까... 등장인물 간에 갈등을 겪으면서 텐션이 좀 떨어진 느낌이었어요.서로 힘들때 자기만의 방식으로 친구를 위로하고 격려하는 장면은 참 인상깊고 예쁘고, 더구나 정말 이상적인 엔딩이긴해요. 서로 잘 어울려 살아가는,에블바디 비 해피.결론)영상미는 진짜 인정해요.그.래.도. 스토리는 원작이 더 좋다고 봐요.뻔하지 않아서 :)난 니가 좋아!!!! 눈누난나 행복해 이런 류의 장면은 이미 너무 많이 봤잖?"
실사영화에서 담아내지 못한 표현을 애니로 담아낸 듯하다
"눈부시고 눈부신 청춘영화,원작과는 전혀 다른 새로운 작품입니다.많은 분들이 보면 좋겠어요..."
제가 본 애니영화중 최곱니다. 꼭 보세요. 두번보세요.
원작보다 이게 훨씬 내취향ost도 미쳤다리...
그냥 소소하게 볼 만했다. 꿈을 자극하는 내용은 좋았다. 그런데 영화관에서 봐야 할 필요는 없다고 생각함.
"끝맛이 약간 씁쓸한 초코렛 로맨스는 2003년 / 파스텔풍 레몬향 탄산수 청춘물은 2021년 / ps. ""네 산소가 부족할때 도와주는게 내역활이야. 숨쉬게 해줄테니까 얌전히 따라와!!"" 이게 진짜 친구지 ㅅㅂ!!"
가슴이 따뜻해지는 영화. 좀 오글거리는 장면도 더러 있는데도 워낙 연출이 섬세해서 훈훈하고 흐뭇하게 볼 수 있었음. 굉장히 마음에 와닿은 영화였습니다.
애니메이션이라 실사영화보다는 더 희망적이고 실사로 표현하기 어려운 조제의 상상의 나래가 훨씬 자유롭게 스크린에 투영되었기에 너무 좋았어요^^
진짜 와...이말밖에 최고..
감정이 따라갈 길도 터주지 않고
왜? 제목이 그렇게 길어야 했는지 알수 있었네요~ 스토리도 좋고... 무거울수 있는 주제를 상대적으러 가볍게 터치해서 좋았어요~ 영화를 보지는 못했지만 아무래도 에니매이션의 힘이 아닌거 싶네요~^^
킬링타임으로 괜찮습니다 영상미 말고는 그냥 그래요.. 스토리는 답답한 느낌.. 어린이들이 보면 좋아할 수도 있을것같아요. 그래도 분위기는 일본의 여름느낌?처럼 예뻐요
"근래에 드문, 밝고, 희망적인 보기 좋은 영화였습니다만 영화로써의 완성도는 아쉽지 않았나 생각됩니다.좋은 그림체, 좋은 내용이지만 내용이 많이 함축적이었다고 느꼈습니다.뒤이어 나타날 상황에 대한 암시나 연출의 개연성이 좀 떨어진다고 할까요? 다만 영화의 몰입을 방해할 정돈 아니었습니다."
스토리도 좋고 연출도 좋음
아 보자마자 쌋다구사이쿄다제 ~우효오옷`
다좋다♡고 생각한다 꼭 보러가야지다들 재밌다던데
재밌습니다 감동적입니다
남주 이름은 관리인
억지 전개라는 느낌은 들었지만 연출이 그걸 커버할 만큼 좋아서 납득이 간다. 동화책 읽을 때 계속 울었음..
잘 만들어진 영화. 일본풍 애니 영화 감성을 좋아하면 추천! 배경이 너무 예뻐서 그야말로 아름다운 감성을 울리는 작품. 원작 소설이 궁금해졌어요.
음악과 영상미 너무 좋아요! 조제 영화보다 에니메이션 조제가 더 마음에 들어요!!!
와 감동적인 영화네요.조제 일본원작 영화 재개봉 하는줄 알고 문화의날 할인받고 예약 했는데 왠 애니가 나오는거에요. 잘못 들어왔나 다시 나가야 하나? 이러는데 티켓을 보니 애니가 맞음.중간에 눈물도 훔치고  애니 특유의 상상의 세계도 그려서 좋았어요. 일본 원작도 다시 보고 싶어요. 그리고 마지막 출연진 올라갈때 그게 끝이 아니에요. 뒤에 에피소드 또 나오니깐  기다리세요. 마지막은 다 나가고 두명이서 청소부 아줌마랑 같이 봤어요.
애니도 애니버전의 매력이있음
오랜만에 감동적인 애니매이션을 보았어요.
""
선명하고 아름다운 색감과 영상. 그리고 그에 어울리는 밝고 따뜻한 내용이 달달함을 선사한다. 쿠키 있음.
"호랑이를 마주하고 극복하며 물고기들을 향해 나아가는 두 사람.큰 감동을 느낀 부분은 조제가 스스로 만든 그림책을 도서관에서 읽어줄 때 이지만,그보다 먼저 무언가 감성이 건드려진다고 느낀 부분은 두 사람이 처음 바다에 가서 바닷물을 느껴보고, 웃고, 즐거워하는 장면. 바쁘고 지친 일상 속에 살던 나였기에 이 장면은 덧없이 아름답게 보였다.꿈이란 잃은 지 오래이고, 그저 하루하루 해야할 일들에 치여살았기에,두 사람의 꿈은 빛나 보였다.스토리는 예상가능한 정도의 흐름이고, 현실성도 좀 떨이지기도 하고, 지나치게 희망찬.그런데 그냥 좋았다.그냥 좋게 보였다."
""
내면의 성장를 통해 꿈과 희망을 전하는 메세지가 아름다운 영상과 함께감동을 전합니다
솔직히 기대 별로 안했는데 제법 재밌음ㅎ적어도 돈이 아까운 정도는 아님
"굳이 원작의 엔딩을 따르지 않은 해피엔딩이여서 오히려 다행이고 좋았다.중간에 살짝 감동도 있고, 극장에서 충분히 볼만한 애니. 괜찮았음!"
영화하고 내용이 다릅니다. 애니판 내용도 좋습니다. 애니의 장점은 현실의 구질구질함을 지울 수 있다는 것이고 단점은 그만큼 현실감이 떨어진다는 겁니다.
정말 오랫동안 기다려왔던 명작 of 명작거기에 Eve의 ost까지....원작은 우울했지만 애니는 밝은 분위기여서가볍게 보기도 참 좋은 것 같다
"영화 못지않게 애니 버전도 좋았다. 영화가 무겁고 약간은 어두웠다면 애니메이션판은 정말 밝은 느낌, 특히 쿠미코, 아니 조제는 훨씬 능동적이고 당차다고 해야 할까?마지막 꽉 닫힌 결말도 나름 괜찮았다. 엔딩 크레딧 올라갈 때 섣불리 나가지 마시라."
코로나로 힘든 시기에 밝고 희망적인 메시지를 주는 수작이라고 생각합니다.
볼만하고 재미도 있습니다.
일본영화계는 극소수의 천재감독들의 하드캐리 없이는 벌써 폭삭 망했다.
해변의 에트랑제의 영상미를 경험하고난뒤라 화면이 너무 거슬렸음. 스토리도 뻔함. 사투리. 한지민님이 참 예쁘신거구나. 내용의 의미는 깊음
재밌게봤습니다. 추천함 부담없이 보기 좋은 애니
기승전결 깔끔하고 ost도좋고 여주는 귀엽다
귀멸의 칼날이 백배 천배 더 재밌네~
두번쯤은 볼만한 영화 스토리느ㄴ 좀..
일본 특유의 감성이 조금 거슬릴수도 있음.작화는 뛰어났으나 감정선 변화가 급한면이 있어서보는내내 아쉬웠다.중간중간 ost는 적절했던거 같고 엔딩때 ost는 매우 좋았습니다.
감정선이 너무 좋았다. 특히 마음안에 날개 이야기할때 왈칵 쏟아버렷다 ㅠ이런 부류의 영화들은 사람의 마음을 선하게 이끌어주는거 같은 느낌을 줘서 좋다.영화가 너무 재미있어서 집에오는길에 책도 샀다. 소장용 DVD도 구매예정.두고두고 보고싶은 영화다. 10점만점에 11점
재미있습니다. 원작이 카카오 함량이 높은 초콜릿이라면 애니메이션은 함량이 낮아져서 달달한 걸 좋아하는 제 입맛에는 딱 취향저격이었습니다.
기승전결 깔끔하고 많은 의미가 담겨있으며애니 좋아하신다면 꼭 보는걸 추천드립니다.상당한 수작이네요.
내 인생영화 진짜로 무조건 보십쇼
영화 보는 내내 그저 그랬는데 왜 보고 나서는 계속 후유증이 남을까...
"처음에는 조제(여주)가 은인인 츠네오(남주)에게 아주 클리셰적인 ""변태야! 어딜 만지작거려!"" 성깔 부렸을 때는 내가 이 여주 조제를 절대 좋게 봐주는 일은 없을 것이라 여겼는데... 마음의 문을 활짝 열고 서서히 웃기 시작했을 때는 사람들이 츤데레를 이래서 좋아하는구나 싶었음. 지금까지의 이야기와 앞으로 조제가 희망하는 이야기를 상징적인 요소로 함축한 동화는 매우 인상적이었음. 호랑이, 동화책 읽어주기 등 단순한 이벤트처럼 지나갔던 이야기가 다시 활용되는 것도 이야기를 다시 되짚어보는 느낌이 들어 좋았음. 하지만 막바지만은 진짜 감점 요소. 마지막 조제의 행보는 전혀 이해가 되지 않고 공감도 되지 않았음. 자신이 츠네오에게 짐이 되지 않고, 자신이 더 이상 츠네오를 의지하지 않도록 츠네오와의 인연을 끊으려고 하는 건 알겠는데, 팔다리 멀쩡한 사람도 아니고 휠체어 타고 다니는 애가 지인들에게까지 소식 끊어버리고 가출해서 잠적한 건 너무 대형 민폐에 자기밖에 모르는 이기적인 행동이라, 동화책 이벤트에서 ""조제가 완전히 성장했구나"" 하고 들었던 느낌에 순식간에 먹칠을 바르는 느낌이었음. 다시 처음과 똑같은 이벤트로 츠네오와 조제가 만나게 된 건 인상적이었는데 그래도 마지막 조제의 민폐 행위는 잊혀지지 않았음... 아니, 왜 잘 끝나가다가 엎어지는 거지. 진짜 마지막에서 감동 깨뜨리는 짓만 안 했으면 별점 더 높았을 거임."
원작의 어리고 철없는 남성의 연애경험에 한부분으로 소비되었던 조제에게 꿈을 주고 활력을 주어 좋았다.
진짜 너무 재미있게 봤어요
별 생각없이 봤는데 감동적입니다. 물론 뻔한 스토리도 있긴 하지만요.. 달달하고 감동적이에요 없는 남친까지 있었으면 싶을정도.. 개인적으로 남주 친구 대사가 와닿았어요 '난 너에게 숨을 나눠주는 역할이야' 대충 이랬는데 직업적으로 말고 주인공에게도 힘이 될? 그런 말같아서 좋았어요
너무 좋았습니다. 기대 안했는데 또 보고싶네요
재밌게 봤습니다 원작도 보고싶어 지는 영화였습니다
"영화와 달리 애니다운 결말, 밝고 희망참."
개봉 당일날 바로 보고왔는데 가슴한쪽이 채워지는  느낌을 받았네요너무 재밌게 봤어요
잔잔한 분위기에서 감동을 쌓는 게 일품인 영화
""
영상미 스토리 연기 다 좋았고 인상깊었지만 다만 너의이름은 같이 후반부 라인에 OST랑 같이 섞였다면 감동이 좀 더 와닿지 않았을까....하는 아쉬움이 살짝 남는다. OST가 나쁘다는 소리는 아니지만 굳이 아쉬운 점을 꼽자면 그렇다.
영화에 비해 굉장히 밝고 긍정적임. 작화가 예쁘고 전개도 걸리는 것 없이 매끄러워 재밌게 볼 만함. 다만 원작이나 영화에서 조제의 괴팍한 성격이 매력 포인트인데 애니에선 좀 순해져 일반 츤데레 캐릭같아졌다는 게 살짝 아쉬움.
간만에 영화다운 영화. 내가 보고싶었던 영화!
"재미있었습니다. 영화, 원작하고는 아예 독립적으로 진행되서 어색함이 없었고 무리하게 원작 따라잡으려다 그르치는 타 작품보다 훨씬 낫네요. 원작쪽은 매우 심오하고 무겁지만애니쪽은 밝고 희망찬 내용이네요. 장애라는 자칫 무거워질 수 있는 요소를 편견없고 알맞게 해석하고 만든 것 같아 편하게 즐길 수 있었습니다. 잘 봤습니다."
새로운 스토리가 탄생했네요.
일본원작 한국리메이크 다보고 본건데 달라서 당황했는데 그래도 애니에서만 볼수있는감성 그리고 요즘같은때 행복한기분을 들게해줘서 좋았어요
""
