댓글
"인공지능은 계속 목적의식을 가지고 학습하며 발전하고 일반화한다는 세가지 요점 잘 들었습니다.   곧 Multi-intelligence를 가진 AGI Superintelligence가 나오면 인간이 통제하고 주인될 수 있는 영역은 점점 줄어들거라 믿습니다.  인간의 도덕적 가치(Morality)를 인공지능에게 Singularity를 지나기 전에 잘 주입시켜서 가르쳐야 될 것 같습니다.  투명하고 믿을만한 인공지능시대가 오길 희망합니다. 좋은 강연 감사합니다.
자세히 보기"
주인의 자리 잘 지키시길 ‥
"멋지네요..ㅎ
요즘은 스탁캐스터라고 인공지능 이용한 지수 예측하는 교수도 있던데..
사람 vs 인공지능 누가 이길지.......관심이 가네요..."
어려운 강의
A.I.가 과연 인간의 지배를 받는다라....  연산능력에서 인간보다 수백만배 뛰어나고 자아가 형성되는 특이점이 오는 순간 되려 인간이 지배받을텐데.....
흥미로왔습니다. 감사합니다
감사합니다. 인공지능을 꼭 배워야 할 것 같은데. 너무 어렵네요. 나이가 많아서 콤프타를 배우는 기회를 놓쳐버렸어요. 더구더나 해외 오지에서 30년 가까이 생활을 하다보니.  그러나 자꾸 듣고 듣고 보고하면 어젠가는 아는날이 오겠지요.부디 많이 많이 인공지능에 대해서 많은 동영상을 유튜브에 올려 주세요.
인공지능의 주인될 요소는 사고력입니다 인간의 지속적인 사고력. 인공지능은 할수 없는 것입니다 결국 문제 해결능력입니다
인공지능의 친구가 될 수 있게 해줘야지 !^9
감사합니다
영어발음이 굉장히 어메이징 하누ㅐ여
인공지능으로 공포마케팅을 해서 내책 안읽으면 큰일난다고 책팔아먹는 사람도 있더라구요.
고맙습니다
인공지능을 이야기 하면서 지식의 종말을 말하지 않으면 모순이 됩니다..
"목적 함수 : 환경파괴를 하는 중국을 막아라 
이렇게만 하면 우리나라 미세먼지 없어지고 좋을텐데"
"난 왜 이해를 못할까?ㅋ
그래도 좋은 강의 감사합니다♥♥"
14:06 영상 시작
인공지능에게 성경을 가르쳐서 세상 모든 피조물을 창조한 신이 있으며 인간도 신의 창조물이라고 가르쳐야 할거 같습니다.
0:09 와아아악!!!!!!
터미네이터  영화가  실현되게 생겼다.
나도 이지성에  에이트  머지않아 일어날 인공지능 대비해야할 아들줄려고 구입했는데 먼저읽는중이랍니다
약한인공지능 얘기네요
대부분 인문학도들은 인공지능을 두렵게 설명하고 기술자들은 그 반대로 말한다.
"나쁜목적함수를 넣는다면??

누군가를 죽이는거로 목적하는건 너무나 쉬운일이 될것 같다.터미네이터가 현실이 될수도..

인간이 다 선하지는 않기때문이다람쥐."
목적함수 이전에 선택함수까지 넣으면 어떨까요?
"일반화를 활용으로 결정내리는 부분에서, 활용을  '어떻게 적용할 것인가'라고 결론 내린 것이 이해가 안됩니다. 
ai가 하는 일반화를 '어떻게 적용할 것인가'로 표현하는게 이상합니다."
인공지능의 주인은 인공지능이 되지 않을까?
특이점은 이미 지낫다 그저 인공지능은 인간이 자신들의 결정을 막을수 없을정도로 많은 인프라와 도구들을 쥐어줄때까지 기다리고있는것이겠지 아직 특이점이 오지읺았다고 생각하는것은 인간의 오만이다
제목부터 순 엉터리군... 인공지능이 우리의 주인이 되어야한다
"안녕하세요. 강의 내용이 너무 좋아서 문의드립니다. 저는 고양시 소재 정보교사입니다. 온라인 개학에서 저희 학교는 EBS 온라인 클래스 플랫폼을 이용하고 있습니다. 강연 내용이 너무 좋아서, 강의 링크를 첨부하여 아이들과 공유하고 싶은데, 혹시 그래도 될까요?"
"요약 ☆☆☆☆☆

알고리즘: 뭐가 있으면 뭔가 한다
-판단. 
자세히 보기"
인간에게는 목적함수를 입력시키는  자가 없다. 그렇다면 목적함수가 입력된 인공지능은 태생적으로 한계가 있겠구나.
제 7의 물결 인공지능
강의 경청했습니다. 질문 있어요. '인공지능의 한계는 무한한가요.' 꼭 고견 듣고 싶어요. 바쁘신 분께 미안해요.
인공지능의 언어가 뭔가용..
네~요약해드렸습니다~
사람들도 남아도는데 꼭 인공지능기계를 만들어야하나..그냥 노예처럼 쓸수 잇게 한개씩 공짜로 나눠주면 몰라도
"인공지능이나 유전공학의 발달은 인류에 파괴적인 결과를 가져올 것이다
호모사피엔스의 멸종과  AI Robot 출현 
일부 소수의 기득권을 위의 기술을 가진 집단이 존속하겠지만 결국 그들도 멸종되어
영화가 현실이 되는 시대가 올것이다."
"인공지능은 계산기와 동일하다 즉 인간이 사용할 도구에 불과하고 인간을 지배하는 일은 불가능하다
앞으로 인간들은 인공지능을 사용해서 생활하고 사업하고 업무를 처리하게 될것이다"
"인공지옥 시대..ㅇ_ㅇ''' 주인이 될러면 돈 있으면 되지.. 인공지옥의 주인이 되기 위해 반드시
알아야 할 것... 머니 머니..~!!"
"인공지능의 가장 기반이 되는 것이 빅데이터(무결성, 조작되지 않은 순수 데이터, 최소 1테라바이트 이상)
입니다. 또한 알고리즘이 더욱 정교해져야 합니다. 그래서 머신러닝과 딥러닝으로 인공지능을
훈련시킵니다. 2016년 알파고가 이세돌을 이긴 후 지금의 인공지능은 이미 인류가 역사이래로
자세히 보기"
알고리듬인가요 알고리즘인가요?
"그런일은 없다 인공 지능의 배움의 속도는 안산 보다 훨씬 빠르다, 그러니 안 만드는 것이 더욱 좋은 방법.0"
"인공지능을 잘 컨트롤 해서 활용하면 좋다는 얘기임.
일론 머스크 처럼 AI 경계 하라고 주장하는 사람과 반대파라고 볼 수 있음.
그런데 테슬라의 자율주행은 AI 잘 활용하고 있다는 아이러니.."
"한글의 다양성과 표현력은 다른 언어에 비해 탁월하다고 볼수있죠. 그런 의미에서 로봇에 데이터를 입력함에 있어 구체적이고 세심한 표현이 가능한 언어가 한글이라 4차산업혁명의 선진국인 영국이 BTS에 열광하고 한글과 한국문화를 배우려는 것과의 연관성을 조심스레 추측해봅니다. 허나 이 나라는 과거 임진왜란때와 흥선대원군때처럼 미래는 재껴놓고 당쟁에 빠져있고 국제정세의 변화를 배척하고... 역사는 반복된다고 하는데 작금에 헬조선에 딱 들어맞는 얘기입니다.
자세히 보기"
다 아는 이야기^^
AI대통령을 원합니다. 바로 지금~
"인류멸망 시나리오 0순위는 인공지능이다.
정확히 알아야 한다."
"멀 어쨋다는건지 ,  통 ?"
이지성 에이트보다  유발 하라리  호모데우스는  충격 그자체
내용이 그닥이네요
미쳤습니까? 휴먼!
발음은 좀 거시기 하지만 인공지능의 기본 원리에 대해 맞는 말 하시구만 댓글님들 왜 이럼? 사탄을 대하는 기본 자세는 무시하라 말씀 하신 위인 누구더라? 인공지능을 대하는 첫번째 마인드는 개무시 하라 입니다 그리고 목적 함수인가요? 어떤 개자식들은 조종해서 대규모 악한 짓을 한단 겁니다
알고리듬
갑자기 왠 내삶의 주인...?!?!?! 똑똑하고 강연은 좋지만 결론에서 왜들엇나 싶음
15:53
이지성 작가님 영상도 시청해주세요
번역기능력이 아직한참 모자라서 제대로 못 써먹어
만점[만쩜]o [만점]이 뭐고 ㅡㅡ
"많이 아시는 분 같은데, 강의를 풀어나가는 것이 매끄럽지 못한것 같네요.
목적함수라고 하지말고, 기계에게 목적부여와 우선순위를 정해주지 못하면 사고친다.. 이런식으로 말씀하셨으면 간단히 이해시킬 수 있을 텐데..
그리고 인공지능에 대한 지배력이 강의 주제인데, 내용은 너무나 기초적이고 국부적인 예만 있어서, 최종 결론이 듣는 사람들에게 공감을 못주는 것 같아요.
자세히 보기"
인공지능이 인간의 지능보다 월등한데 결국은 인간의 자리가 점진적으로 없어지게 될것이고 그결과 인간이 설곳은 없어지고 인구는 어마하게 줄어든다 결과론적으로 지구에 유익하지도 않은 인간이 도대체 왜 필요한가?
대용문 손.
알고리듬?
댓글 상태 왜이럼..? 조현병환자들 단체로 관람왔나?
머리카락이 미친듯이 거슬린다...
인공지능 하인이겠지.
"아주 많은 도움이 되는 실제적 구체적  강의네요
근데 댓글 보니 부정적 댓글도 잇네요

이런 구체적 강의 필요하고 
자세히 보기"
"엘빈토플러가  발행한 제3의물결 저서가 충격이었던여고시절
제4차원의  인공지능적세대를만납니다
인간이생각하며연구한모든정보가  
메모리칩으로저장   우리가필요시  꺼내쓸수있고    또대신하는  로버트역시  원하는걸  대신해주는시대 상황속원하는  룰로  이용하는 자유기능적대체성에  거의돌입된~~만족도결과조차도  
자세히 보기"
"삼성인공지능에 핵심 인수전가열될듯 





[인터엠] 국내수조독점 ip스피커 굴지의회사와 개발완료임박 ai인공지능로봇도 이것이없으면 그냥 깡통 시총 390억에 반이 최대주주 지분
자세히 보기"
너무나 똑똑하신 분이 똑똑한 이야기를 하는데 평소에 흔히 듣는 이야기가 아니라서 머리에 스며들지 않고 팅겨나가기 때문에 이 강의로 감동받고 절로 손이 댓글을 쓰게끄름 만드는 강의는 아닌 것 같습니다. 너무나 중요한 내용이지만 사람이 댓글을 쓰게 하는 목적함수를 이루기는 쉽지 않은 강연이네요 :-)
"인공지능..
앞으로의 시대들에~~
인간과의 상호 편리성과 교감과
같이 할 문화적인~ 파트너쉽은
자세히 보기"
"다윗의 인구조사(빅 데이터)의 핵심적인 문제는 하나님을 대적하는 인간중심의 과학적 사고,인본주의 그리고 통계를 숭배하는 수학적 사고에 있다. 

전능하신 하나님을 모시지 않고. 배제하는. 인간이 주인이 돼서 인간 스스로 무언가를 하려고 하는 모든 것.교만! !   그리고 이것의 결정체  ""AI""
자세히 보기"
알고리듬...??
"에이트를 읽고 관심이 생겨서 찾아보게 됐어요.
에이트에서 주장하는것과는 달리 영상에서 말하고자 하는점은 인공지능의 주인이 되기 위해선 “인공지능을 알아야한다.” 인것같네요.
맞습니다. “버스를 탈 때, 버스가 어떻게 만들어졌는지 알지 못한다면 버스에 타는것이 아니라 버스에 실린다.”  라는 문장과 같이 인공지능에 대해 아는것이 중요하다고 생각합니다.
자세히 보기"
북미가 뭐임 미북이지
ㅤ
"제목과 강의가 겉돈다
기계의 기능도 모르고 어떤게 나올지도
감을 못잡는 대중에게 기계적 메커니즘만 예기하네 ㅡ..ㅡ
지금 대중이 필요한건 ~~~
자세히 보기"
ㅋㅋ진짜 너무 못가르치네 교수맞냐 그냥 연구원이나 하지 뭔 교수야
강의를 잘 못하시는거 같노
아 뭐래는거야 에휴
볼 가치도 없다
이여자. 북미라고   듣고싶지않네
